,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Badem İçi,Amigo Badem İçi 150 gr,Amigo,"Badem, Çerez, Kuru Yemi̇şler",sok,Adana Seyhan Kurtuluş,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,ADANA
Badem İçi,Carrefour Badem İçi 150 gr,Carrefour,"Kuru Gıdalar, Çiğ Kuruyemiş, Gıda, Kuruyemi̇şler",carrefour,Adana Türkmenbaşı Süper,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,ADANA
Badem İçi,Carrefour Badem İçi 90 gr,Carrefour,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Adana Türkmenbaşı Süper,54.5,"605,56 ₺/kg",02.06.2025 10:19,0,ADANA
Badem İçi,Badem İçi  150 Gr Simbat,Simbat,"050202-kuruyemiş, 05-kuruyemiş, 0502-kuruyemi̇ş",bim,Çifte Minareseyhanadana,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,ADANA
Badem İçi,Migros Kavrulmuş Badem İçi 150 gr,Migros,"Pl Kuruyemi̇ş, Pl Badem, Pl Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Pl Çerez",migros,Yeni Vilayet M Migros,84.5,"563,33 ₺/kg",02.06.2025 10:18,0,ADANA
Badem İçi,Tadım Kavrulmuş Badem İçi 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Badem, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş",migros,Yeni Vilayet M Migros,178.95,"994,17 ₺/kg",02.06.2025 10:18,0,ADANA
Badem İçi,Tadım Kavrulmuş Badem İçi 135 gr,Tadım,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Adana Gazıpaşa Mını,133.25,"987,04 ₺/kg",02.06.2025 10:19,0,ADANA
Badem İçi,Tadım Kavrulmuş Badem İçi 90 gr,Tadım,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Adana Türkmenbaşı Süper,78.9,"876,67 ₺/kg",02.06.2025 10:19,0,ADANA
Badem İçi,Amigo Badem İçi 150 gr,Amigo,"Badem, Çerez, Kuru Yemi̇şler",sok,Çankaya Merkez,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,ANKARA
Badem İçi,Carrefour Badem İçi 150 gr,Carrefour,"Kuru Gıdalar, Çiğ Kuruyemiş, Gıda, Kuruyemi̇şler",carrefour,Ankara Tunalı Hılmı Cad Süper,67.6,"450,67 ₺/kg",02.06.2025 10:19,0,ANKARA
Badem İçi,Carrefour Badem İçi 90 gr,Carrefour,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Ankara Çankaya Esat Cad,54.5,"605,56 ₺/kg",02.06.2025 10:19,0,ANKARA
Badem İçi,Badem İçi  150 Gr Simbat,Simbat,"050202-kuruyemiş, 05-kuruyemiş, 0502-kuruyemi̇ş",bim,Konurçankaya,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,ANKARA
Badem İçi,Migros Kavrulmuş Badem İçi 150 gr,Migros,"Pl Kuruyemi̇ş, Pl Badem, Pl Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Pl Çerez",migros,Ankara Kolej M Mıgros,84.5,"563,33 ₺/kg",02.06.2025 10:18,0,ANKARA
Badem İçi,Tadım Kavrulmuş Badem İçi 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Badem, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş",migros,Ankara Kolej M Mıgros,178.95,"994,17 ₺/kg",02.06.2025 10:18,0,ANKARA
Badem İçi,Tadım Kavrulmuş Badem İçi 135 gr,Tadım,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Ankara Cebecı Mını,133.25,"987,04 ₺/kg",02.06.2025 10:19,0,ANKARA
Badem İçi,Tadım Kavrulmuş Badem İçi 90 gr,Tadım,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Ankara Çankaya Esat Cad,88.9,"987,78 ₺/kg",02.06.2025 10:19,0,ANKARA
Badem İçi,Amigo Badem İçi 150 gr,Amigo,"Badem, Çerez, Kuru Yemi̇şler",sok,Muratpaşa Yenikapı,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,ANTALYA
Badem İçi,Carrefour Badem İçi 150 gr,Carrefour,"Kuru Gıdalar, Çiğ Kuruyemiş, Gıda, Kuruyemi̇şler",carrefour,Antalya Konyaaltı Caddesı Mını,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,ANTALYA
Badem İçi,Carrefour Badem İçi 90 gr,Carrefour,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Antalya Konyaaltı Caddesı Mını,54.5,"605,56 ₺/kg",02.06.2025 10:19,0,ANTALYA
Badem İçi,Badem İçi  150 Gr Simbat,Simbat,"050202-kuruyemiş, 05-kuruyemiş, 0502-kuruyemi̇ş",bim,Kızılsaray  Antalya,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,ANTALYA
Badem İçi,Tadım Kavrulmuş Badem İçi 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Badem, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş",migros,Mjet Kaleiçi Antalya,178.95,"994,17 ₺/kg",02.06.2025 10:18,0,ANTALYA
Badem İçi,Migros Çiğ Badem İçi 150 gr,Migros,"Pl Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Pl Kuru Meyve, Pl Çerez, Pl Badem Çiğ",migros,Mjet Kaleiçi Antalya,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,ANTALYA
Badem İçi,Tadım Kavrulmuş Badem İçi 135 gr,Tadım,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Antalya Konyaaltı Caddesı Mını,133.25,"987,04 ₺/kg",02.06.2025 10:19,0,ANTALYA
Badem İçi,Tadım Kavrulmuş Badem İçi 90 gr,Tadım,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Antalya Konyaaltı Caddesı Mını,88.9,"987,78 ₺/kg",02.06.2025 10:19,0,ANTALYA
Badem İçi,Amigo Badem İçi 150 gr,Amigo,"Badem, Çerez, Kuru Yemi̇şler",sok,Aydın Soğukkuyu,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,AYDIN
Badem İçi,Carrefour Badem İçi 90 gr,Carrefour,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Aydın Mımar Sınan Süper,54.5,"605,56 ₺/kg",02.06.2025 10:19,0,AYDIN
Badem İçi,Badem İçi  150 Gr Simbat,Simbat,"050202-kuruyemiş, 05-kuruyemiş, 0502-kuruyemi̇ş",bim,Güzelhisar  Aydın,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,AYDIN
Badem İçi,Tadım Kavrulmuş Badem İçi 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Badem, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş",migros,Istiklal Aydın M Migros,178.95,"994,17 ₺/kg",02.06.2025 10:18,0,AYDIN
Badem İçi,Migros Çiğ Badem İçi 150 gr,Migros,"Pl Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Pl Kuru Meyve, Pl Çerez, Pl Badem Çiğ",migros,Istiklal Aydın M Migros,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,AYDIN
Badem İçi,Tadım Kavrulmuş Badem İçi 90 gr,Tadım,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Aydın Mımar Sınan Süper,88.9,"987,78 ₺/kg",02.06.2025 10:19,0,AYDIN
Badem İçi,Noi Ege Bademi Soyulmuş Beyaz Badem İçi 140 gr,Noı,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Çerez, Badem Çiğ, Kuru Meyve",migros,Aydın Mağazası,139.95,"999,64 ₺/kg",02.06.2025 10:18,0,AYDIN
Badem İçi,Noi Ege Bademi Tuzsuz Kavrulmuş Badem İçi 140 gr,Ege,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Badem, Çerez, Kuruyemi̇ş",migros,5m Aydın Kipa Avm,124.95,"892,50 ₺/kg",02.06.2025 10:19,0,AYDIN
Badem İçi,Amigo Badem İçi 150 gr,Amigo,"Badem, Çerez, Kuru Yemi̇şler",sok,Balıkesir Anafartalar,84.5,"563,33 ₺/kg",02.06.2025 10:19,0,BALIKESİR
