,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Salam,Carrefour Hindi Salam 50 gr,Carrefour,"Gıda, Salam, Self Servıs, Paketli̇ Et Ürünleri̇",carrefour,Istanbul Esenler Esprı Süper,15.95,2025-05-11 10:17,0
Salam,Dana Macar Salam 150 gr,Markasız,"170123-salam Dana, 1701-etli̇ Mamuller, 17-grup Spot",bim,Bağlarbaşıgaziosmanpaşa,49.0,2025-05-11 10:16,0
Salam,Torku Dilimli Salam 60 gr,Torku,"Dana, Et Şarküteri, Salam, Paket Salam, Salam Dana, Et Ve Etli̇ Mamüller, Et Şarküteri Paket",migros,Bayrampaşa Pashador Mm Migros,52.5,2025-05-11 10:17,0
Salam,Aytaç Macar Salam 60 Gr,Aytaç,"Dana, Gıda, Et Şarküteri, Salam, Self Servıs, Paket Salam, Et şarküteri, Paketli̇ Et Ürünleri̇, Et Şarküteri Paket",carrefour,Istanbul Vıa Venezıa Süper,56.5,2025-05-11 10:16,0
Salam,Banvit Baton Salam 850g,Banvit,"Gıda, Self Servıs, Piliç, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇, Et Şarküteri, Et-et Ürünleri-dondurulmuş Ürünler, Salam, İşlenmi̇ş Et Ürünleri̇, Et Ve Et Ürünleri, Paket Salam, Et şarküteri, Salam Piliç, Et Ve Etli̇ Mamüller",sok,Gop Sarıgöl,59.9,2025-05-11 10:16,0
Salam,Polonez Hindi Salam 90 gr,Polonez,"Et Şarküteri, Paket Salam, Hindi, Et Şarküteri Paket",migros,Bayrampaşa Pashador Mm Migros,62.9,2025-05-11 10:16,0
Salam,Banvit Baton Salam 850g,Banvit,"Gıda, Self Servıs, Piliç, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇, Et Şarküteri, Et-et Ürünleri-dondurulmuş Ürünler, Salam, İşlenmi̇ş Et Ürünleri̇, Et Ve Et Ürünleri, Paket Salam, Et şarküteri, Salam Piliç, Et Ve Etli̇ Mamüller",tarim_kredi,Istanbul Gop Market,75.0,2025-05-11 10:16,0
Salam,Banvit Baton Salam 850g,Banvit,"Gıda, Self Servıs, Piliç, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇, Et Şarküteri, Et-et Ürünleri-dondurulmuş Ürünler, Salam, İşlenmi̇ş Et Ürünleri̇, Et Ve Et Ürünleri, Paket Salam, Et şarküteri, Salam Piliç, Et Ve Etli̇ Mamüller",carrefour,Istanbul Küçükköy Süper,75.1,2025-05-11 10:16,0
Salam,Banvit Baton Salam 850g,Banvit,"Gıda, Self Servıs, Piliç, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇, Et Şarküteri, Et-et Ürünleri-dondurulmuş Ürünler, Salam, İşlenmi̇ş Et Ürünleri̇, Et Ve Et Ürünleri, Paket Salam, Et şarküteri, Salam Piliç, Et Ve Etli̇ Mamüller",migros,Mjet Merkez Mh Gop Istanbul,81.9,2025-05-11 10:16,0
Salam,Polonez Macar Salam 90 gr,Polonez,"Dana, Et Şarküteri, Paket Salam, Et Şarküteri Paket",migros,Bayrampaşa Pashador Mm Migros,89.9,2025-05-11 10:16,0
Salam,Polonez Fıstıklı Salam 90 gr,Polonez,"Dana, Et Şarküteri, Gıda, Salam, Self Servıs, Paket Salam, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",migros,Mjet Merkez Mh Gop Istanbul,89.9,2025-05-11 10:16,0
Salam,Polonez Fıstıklı Salam 90 gr,Polonez,"Dana, Et Şarküteri, Gıda, Salam, Self Servıs, Paket Salam, Et Şarküteri Paket, Paketli̇ Et Ürünleri̇",carrefour,Istanbul Vıa Venezıa Süper,139.9,2025-05-11 10:16,0
Salam,Namet Hindi Salam,Namet,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,544.9,2025-05-11 10:16,0
Salam,Namet Hindi Fıstıklı Salam,Namet,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,544.9,2025-05-11 10:16,0
Salam,Polonez Füme Etli Hindi Salam,Polonez,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,599.9,2025-05-11 10:17,0
Salam,Polonez Fıstıklı Hindi Salam,Polonez,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,599.9,2025-05-11 10:17,0
Salam,Erşan Fıstıklı Macar Salam,Erşan,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,725.0,2025-05-11 10:17,0
Salam,Başyazıcı Macar Salam,Başyazıcı,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Vıa Venezıa Süper,749.0,2025-05-11 10:17,0
Salam,Namet Fıstıklı Macar Salam,Namet,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Vıa Venezıa Süper,1119.9,2025-05-11 10:17,0
Salam,Namet Macar Salam,Namet,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,1119.9,2025-05-11 10:17,0
Salam,Polonez Biberli Salam,Polonez,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,1399.9,2025-05-11 10:17,0
Salam,Polonez Macar Salam,Polonez,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Vıa Venezıa Süper,1399.9,2025-05-11 10:17,0
Salam,Polonez Macar Salam Fıstıklı kg,Polonez,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,1399.9,2025-05-11 10:17,0
Salam,Namet Mortedella Salam,Namet,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,1419.9,2025-05-11 10:17,0
Salam,Polonez Etli Fıstıklı Salam,Polonez,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,1475.0,2025-05-11 10:17,0
Salam,Namet Dilli Salam,Namet,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,1599.9,2025-05-11 10:17,0
Salam,Polonez Dana İtalyan Salam Biberli,Polonez,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,2399.9,2025-05-11 10:17,0
Salam,Fümeci İtalyan Salam,Fümeci,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,2899.9,2025-05-11 10:17,0
Salam,Fümeci Biberli İtalyan Salam,Fümeci,"Sarküterı, Salamlar Kg, Taze Gıdalar, Et Ürünlerı",carrefour,Istanbul Bayrampaşa Forum Hıpe,2999.9,2025-05-11 10:17,0
