,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Badem İçi,Amigo Badem İçi 150 gr,Amigo,"Badem, Çerez, Kuru Yemi̇şler",sok,Mercan Mheminönü,84.5,"563,33 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Badem İçi,Carrefour Badem İçi 150 gr,Carrefour,"Kuru Gıdalar, Çiğ Kuruyemiş, Gıda, Kuruyemi̇şler",carrefour,Istanbul Fatıh Mını,84.5,"563,33 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Badem İçi,Carrefour Badem İçi 90 gr,Carrefour,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Istanbul Fatıh Mını,54.5,"605,56 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Badem İçi,Badem İçi  150 gr Simbat,Simbat,"050202-kuruyemiş, 05-kuruyemiş, 0502-kuruyemi̇ş",bim,Sinanağafatih,71.5,"476,67 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Badem İçi,Migros Kavrulmuş Badem İçi 150 gr,Migros,"Pl Kuruyemi̇ş, Pl Badem, Pl Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Pl Çerez",migros,Mjet Cağaloğlu Istanbul,84.5,"563,33 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Badem İçi,Kuruyemiş Badem İçi 150 gr Çerezya,Çerezya,"Badem, Kuruyemi̇şler, Kuruyemiş",a101,Atlamataşı Fatih Istanbul,84.5,"563,33 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Badem İçi,Tadım Kavrulmuş Badem İçi 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Badem, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş",carrefour,Istanbul Cıhangır Gurme,161.25,"895,83 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Badem İçi,Tadım Kavrulmuş Badem İçi 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Badem, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş",migros,Mjet Cağaloğlu Istanbul,178.95,"994,17 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Badem İçi,Tadım Kavrulmuş Badem İçi 135 gr,Tadım,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Istanbul Fatıh Mını,133.25,"987,04 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Badem İçi,Çiğ Badem İçi Promosyon 300 gr,Markasız,"Kabuklu Kuruyemi̇ş, Badem, Kuruyemiş, Kuruyemiş Servis",migros,Mjet Beyazıt Mithatpaşa,199.95,"666,50 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Badem İçi,Tadım Kavrulmuş Badem İçi 90 gr,Tadım,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Istanbul Fatıh Mını,88.9,"987,78 ₺/kg",04.08.2025 07:42,0,İSTANBUL
Badem İçi,Badem İçi Çiğ Aşurlk Soylmş 130 gr Keyifçe,Markasız,"17-grup Spot, 1705-kuruyemi̇ş, 170505-kuruyemiş",bim,Sinanağafatih,89.0,"684,62 ₺/kg",04.08.2025 07:42,0,İSTANBUL
