,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Ekmek,İstanbul Halk Ekmek Organik Ekmek,İHE,"Ekmekler, Paketli Ekmekler, Pasta-ekmek, Taze Gıdalar",carrefour,Istanbul Cıhangır Gurme,45.0,"90,00 ₺/kg",28.06.2025 10:21,0,İSTANBUL
Ekmek,İstanbul Halk Ekmek Tam Buğday Ekmek,İHE,"Unlu Mamuller Servis, Ekmekler, Paketli Unlu Mamüller, Paketli Ekmekler, Pasta-ekmek, Çeşit Ekmek, Taze Gıdalar, Ekmek Çeşi̇tleri̇",carrefour,Istanbul Fatıh Mını,45.0,"112,50 ₺/kg",28.06.2025 10:21,0,İSTANBUL
Ekmek,İstanbul Halk Ekmek Fındıklı Ve Üzümlü Ekmek 50 gr,İHE,"Ekmekler, Paketli Ekmekler, Pasta-ekmek, Taze Gıdalar",carrefour,Istanbul Fatıh Mını,10.0,"200,00 ₺/kg",28.06.2025 10:21,0,İSTANBUL
Ekmek,Ekmek,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Kadırga Fatih Istanbul,12.5,"12,50 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Çeşit Ekmek,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Türkeli Fatih Istanbul,16.95,"16,95 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Odun Ekmek,Markasız,"Ekmek Fırınlar, Ekmek Günlük, Unlu Mamuller, Ekmek Speci̇al Sofra",sok,Mercan Mheminönü,14.75,"14,75 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Ekmek Yöresel,Markasız,"Unlu Mamuller Servis, Ekmek Fırınlar, Ekmek, Çeşit Ekmek, Ekmek Çeşi̇tleri̇, Normal Ekmek, Un Ve Unlu Mamuller",a101,Kadırga Fatih Istanbul,39.95,"39,95 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Ekmek Tandır,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Atlamataşı Fatih Istanbul,10.0,"10,00 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Simit Ekmek,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Atlamataşı Fatih Istanbul,22.5,"22,50 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Ekmek Karadeniz,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Kadırga Fatih Istanbul,60.0,"60,00 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Ekmek Büyük,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Atlamataşı Fatih Istanbul,27.0,"27,00 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Günlük Kepekli Ekmek,Markasız,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Atlamataşı Fatih Istanbul,12.5,"12,50 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Bagetta Sac Ekmek,Bagetta ,"Gıda, Ekmek, Temel Gıda Ürünleri, Unlu Mamüller",tarim_kredi,Istanbul Fatih Market,44.95,"44,95 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Bagetürk Odun Ekmek,Bagetürk ,"Gıda, Ekmek, Temel Gıda Ürünleri, Unlu Mamüller",tarim_kredi,Istanbul Fatih Market,12.5,"12,50 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Bagetürk Normal Ekmek,Bagetürk ,"Gıda, Ekmek, Temel Gıda Ürünleri, Unlu Mamüller",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,12.5,"12,50 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Ekmek Odun 200g-stk,Stk,"Un Ve Bakliyatlar, Normal Ek, Normal Ekmekler",hakmar,Valide  Üsküdar,12.25,"61,25 ₺/kg",28.06.2025 10:21,0,İSTANBUL
Ekmek,İyilik Çavdarlı Ekmek 400 gr,İyilik,"Unlu Mamuller Servis, Paketli Unlu Mamüller, Çeşit Ekmek, Ekmek Çeşi̇tleri̇",migros,Mjet Cağaloğlu Istanbul,31.0,"77,50 ₺/kg",28.06.2025 10:21,0,İSTANBUL
Ekmek,Ekmek Bazlama 150 gr Nimet,Nimet,"Lavaş/katmer/bazlama, Ekmek, Un Ve Unlu Mamuller",a101,Kadırga Fatih Istanbul,19.95,"133,00 ₺/kg",28.06.2025 10:21,0,İSTANBUL
Ekmek,Ekmek Tost 550 gr Nimet,Nimet,"Ekmek, Paketli Ekmek, Un Ve Unlu Mamuller",a101,Atlamataşı Fatih Istanbul,38.5,"70,00 ₺/kg",28.06.2025 10:21,0,İSTANBUL
Ekmek,Eyvallah Yufka Ekmek 500 gr,Eyvallah,"Dürümlavaş, Endüstri̇yel Ekmekler, Unlu Mamuller",sok,Mercan Mheminönü,75.0,"150,00 ₺/kg",28.06.2025 10:21,0,İSTANBUL
Ekmek,Ekmek Bazlama 300 gr Nimet,Nimet,"Lavaş/katmer/bazlama, Ekmek, Un Ve Unlu Mamuller",a101,Kadırga Fatih Istanbul,34.95,"116,50 ₺/kg",28.06.2025 10:21,0,İSTANBUL
Ekmek,Ekmek Kepekli 400 gr Nimet,Nimet,"Ekmek, Paketli Ekmek, Un Ve Unlu Mamuller",a101,Atlamataşı Fatih Istanbul,29.5,"73,75 ₺/kg",28.06.2025 10:21,0,İSTANBUL
Ekmek,Bagetta Tam Buğday Unlu Ekmek,Bagetta ,"Ekmek Fırınlar, Gıda, Ekmek, Temel Gıda Ürünleri, Unlu Mamüller, Ekmek Günlük, Unlu Mamuller, Ekmek Speci̇al Sofra",tarim_kredi,Istanbul Fatih Yedikule Imrahor,29.9,"29,90 ₺/adet",28.06.2025 10:21,0,İSTANBUL
Ekmek,Halep Ekmek 300 gr Nimet,Nimet,"Ekmek, Normal Ekmek, Un Ve Unlu Mamuller",a101,Kadırga Fatih Istanbul,18.95,"0,05 ₺/kg",28.06.2025 10:21,0,İSTANBUL
Ekmek,Ege Glutensiz Ekmek 285 gr,Ege,"Glutensiz, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Glutensiz Ekmek, Glutensi̇z Tatlı Hamuri̇şleri̇",migros,Mjet Cağaloğlu Istanbul,73.45,"257,72 ₺/kg",28.06.2025 10:21,0,İSTANBUL
