,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Badem İçi,Amigo Badem İçi 150 gr,Amigo,"Badem, Çerez, Kuru Yemi̇şler",sok,Mercan Mheminönü,75.0,"500,00 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Badem İçi,Carrefour Badem İçi 150 gr,Carrefour,"Kuru Gıdalar, Çiğ Kuruyemiş, Gıda, Kuruyemi̇şler",carrefour,Istanbul Fatıh Mını,84.5,"563,33 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Badem İçi,Carrefour Badem İçi 90 gr,Carrefour,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Istanbul Fatıh Mını,54.5,"605,56 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Badem İçi,Badem İçi  150 Gr Simbat,Simbat,"050202-kuruyemiş, 05-kuruyemiş, 0502-kuruyemi̇ş",bim,Sinanağafatih,84.5,"563,33 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Badem İçi,Migros Kavrulmuş Badem İçi 150 gr,Migros,"Pl Kuruyemi̇ş, Pl Badem, Pl Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Pl Çerez",migros,Mjet Cağaloğlu Istanbul,84.5,"563,33 ₺/kg",02.07.2025 10:19,0,İSTANBUL
Badem İçi,Kuruyemiş Badem İçi 150 gr Çerezya,Çerezya,"Badem, Kuruyemi̇şler, Kuruyemiş",a101,Atlamataşı Fatih Istanbul,84.5,"563,33 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Badem İçi,Tadım Kavrulmuş Badem İçi 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Badem, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş",carrefour,Istanbul Cıhangır Gurme,161.25,"895,83 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Badem İçi,Tadım Kavrulmuş Badem İçi 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Badem, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş",migros,Mjet Cağaloğlu Istanbul,178.95,"994,17 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Badem İçi,Tadım Kavrulmuş Badem İçi 135 gr,Tadım,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Istanbul Fatıh Mını,133.25,"1,02 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Badem İçi,Çiğ Badem İçi Promosyon 300 gr,Markasız,"Kabuklu Kuruyemi̇ş, Badem, Kuruyemiş, Kuruyemiş Servis",migros,Mjet Kumkapı Istanbul,199.95,"666,50 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Badem İçi,Tadım Kavrulmuş Badem İçi 90 gr,Tadım,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Istanbul Fatıh Mını,88.9,"987,78 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Badem İçi,Çerez Badem İçi 150 gr Çerezim,Çerezim,"Lüks Ürünler, Lüks Ürün, Kuruyemiş Ve Cipsler",hakmar,Valide  Üsküdar,84.5,"563,33 ₺/kg",02.07.2025 10:20,0,İSTANBUL
Badem İçi,Badem İçi Çiğ Aşurlk Soylmş 130 gr Keyifçe,Markasız,"17-grup Spot, 1705-kuruyemi̇ş, 170505-kuruyemiş",bim,Sinanağafatih,89.0,"89.000,00 ₺/kg",02.07.2025 10:20,0,İSTANBUL
