,high,low,open,close
2024-10-11,100.0,99.99999999999936,100.0,99.99999999999936
2024-10-12,100.30377659796096,100.14273510807328,100.30377659796096,100.14273510807328
2024-10-13,100.19037005402032,100.04428502502752,100.1693727894693,100.04428502502752
2024-10-14,100.73784493868592,100.23860042239748,100.23860042239748,100.532799856364
2024-10-15,100.9415325605906,100.47214765753414,100.47214765753414,100.7030042425318
2024-10-16,101.22503545610893,100.85284841698942,100.94942686946308,100.85284841698942
2024-10-17,101.36867022462036,100.900840673769,101.02098877472874,100.900840673769
2024-10-18,101.22465209694556,100.1991695253506,101.22465209694556,100.1991695253506
2024-10-19,100.54300323100892,100.1360937912056,100.51058899919592,100.1360937912056
2024-10-20,100.45065116163738,100.13905955755251,100.45065116163738,100.13905955755251
2024-10-21,100.97513905173722,100.27723412822264,100.4732264390401,100.27723412822264
2024-10-22,101.7529527947442,100.58986949550206,100.8109997056973,100.58986949550206
2024-10-23,101.55262470329748,100.83845245559334,101.36308024425018,100.83845245559334
2024-10-24,101.51936698560078,101.12590919860315,101.51936698560078,101.12590919860315
2024-10-25,101.40860796084866,101.03179060601748,101.40626734812534,101.03179060601748
2024-10-26,101.42078783929496,101.03127426519428,101.41899786977169,101.03127426519428
2024-10-27,101.3603048586794,100.98570831649616,101.35907018963816,100.98570831649616
2024-10-28,101.47670242026982,101.08124850161734,101.36222224574392,101.08124850161734
2024-10-29,101.54194968640748,101.10877081979775,101.54194968640748,101.10877081979775
2024-10-30,101.61944318398284,101.16153345408226,101.61944318398284,101.16153345408226
2024-10-31,101.79358445310233,101.3398359701698,101.73716401960394,101.3398359701698
2024-11-01,101.63566157077774,101.3060206053362,101.58582939466817,101.3060206053362
2024-11-02,101.78184772858609,101.44519799940124,101.76786596571662,101.44519799940124
2024-11-03,101.79172929878902,101.45994045478584,101.77056905164112,101.45994045478584
2024-11-04,101.90910083974217,101.53175474065648,101.86665952025538,101.53175474065648
2024-11-05,102.54761018934296,102.0358378040826,102.16670789807094,102.0358378040826
2024-11-06,102.606209233067,102.0939777488112,102.549492944873,102.0939777488112
2024-11-07,102.76286515967864,101.92968550251648,102.75525394106783,102.2217900794632
2024-11-08,103.94070995686548,103.46973962299708,103.94070995686548,103.4942538973211
2024-11-09,103.84588540131172,103.4194253586817,103.70950516377152,103.4194253586817
2024-11-10,103.9221191585385,103.6090031221672,103.74851289233683,103.6090031221672
2024-11-11,104.08275179756237,103.68899653346644,104.08275179756237,103.68899653346644
2024-11-12,104.23231726126564,103.81980022576091,104.09037786079875,103.81980022576091
2024-11-13,104.46643436088132,104.32510231268964,104.46643436088132,104.32510231268964
2024-11-14,104.47234091713123,104.38951958549367,104.45361333918902,104.38951958549367
2024-11-15,104.31901745119066,104.1149251872038,104.31901745119066,104.14045815321576
2024-11-16,104.21008385201984,104.12982077646596,104.21008385201984,104.15183659470216
2024-11-17,104.22176695276166,104.10374169408598,104.1403772066915,104.21369715195743
