,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Kahve,Kahve Filtre 250 gr Cafex,Cafex,"Granül Kahve, Filtre Kahve, Çay, Kahve Ve Toz İçecekler",a101,Atlamataşı Fatih Istanbul,149.0,"596,00 ₺/kg",29.06.2025 10:20,0,İSTANBUL
Kahve,Lezzcafe Filtre Kahve 250 Gr,Lezzcafe,"Çay-kahve-toz Içecekler, Hazır Kahveler, Hazır Kahve, Kahve",sok,Mercan Mheminönü,159.0,"636,00 ₺/kg",29.06.2025 10:20,0,İSTANBUL
Kahve,Migros Filtre Kahve 225 gr,Migros,"Pl Fi̇ltre Kahve, Pl Filtre Kahveler, Pl Kahve, Pl Çay Kahve Su Ve Maden Suları",migros,Mjet Cağaloğlu Istanbul,149.0,"662,22 ₺/kg",29.06.2025 10:20,0,İSTANBUL
Kahve,Dripesso Pratik Filtre Kahve Tekli,Dripesso,"Kuru Gıdalar, Gıda, Kahve/çay Ve Di̇ğer, Fıltre Kahve",carrefour,Istanbul Fatıh Mını,10.0,"1.250,00 ₺/kg",29.06.2025 10:20,0,İSTANBUL
Kahve,Carrefour Filtre Kahve 225 Gr,Carrefour,"Kuru Gıdalar, Gıda, Kahve/çay Ve Di̇ğer, Fıltre Kahve",carrefour,Istanbul Fatıh Mını,145.0,"644,44 ₺/kg",29.06.2025 10:20,0,İSTANBUL
Kahve,Bonheur Guatemala Filtre Kahve 250 gr,Bonheur,"Kuru Gıdalar, Gıda, Kahve/çay Ve Di̇ğer, Fıltre Kahve",carrefour,Istanbul Fatıh Mını,190.0,"760,00 ₺/kg",29.06.2025 10:20,0,İSTANBUL
Kahve,Jacobs Monarch Filtre Kahve 250 gr,Jacobs,"Çay-kahve-toz Içecekler, Kuru Gıdalar, Hazır Kahveler, Gıda, Çay Kahve Su Ve Maden Suları, Kahve/çay Ve Di̇ğer, Fıltre Kahve, Hazır Kahve, Fi̇ltre Kahve, Filtre Kahveler, Kahve",migros,Mjet Cağaloğlu Istanbul,258.5,"1.034,00 ₺/kg",29.06.2025 10:20,0,İSTANBUL
Kahve,Jacobs Monarch Filtre Kahve 250 gr,Jacobs,"Çay-kahve-toz Içecekler, Kuru Gıdalar, Hazır Kahveler, Gıda, Çay Kahve Su Ve Maden Suları, Kahve/çay Ve Di̇ğer, Fıltre Kahve, Hazır Kahve, Fi̇ltre Kahve, Filtre Kahveler, Kahve",carrefour,Istanbul Fatıh Mını,261.0,"1.044,00 ₺/kg",29.06.2025 10:20,0,İSTANBUL
Kahve,Tchibo Exclusive Decafein Kafeinsiz Öğütülmüş Filtre,Tchibo,"Çay-kahve-toz Içecekler, Kuru Gıdalar, Hazır Kahveler, Gıda, Çay Kahve Su Ve Maden Suları, Kahve/çay Ve Di̇ğer, Fıltre Kahve, Hazır Kahve, Fi̇ltre Kahve, Filtre Kahveler, Kahve",carrefour,Istanbul Cıhangır Gurme,415.9,"1.663,60 ₺/kg",29.06.2025 10:20,0,İSTANBUL
Kahve,Filtre Kahve Çeşitleri 250 Grcafe Crown,Cafe Crown,"170333-filtre Kahve, 17-grup Spot, 1703-i̇çecekler",bim,Sinanağafatih,105.0,"420,00 ₺/lt",29.06.2025 10:20,0,İSTANBUL
