,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Kola,Gazlı İçecek Kola 250 Ml Le'cola,Le'cola,"03-içecekler, 0304-gazlı İçecekler, 030401-kolalı",bim,Bağlarbaşıgaziosmanpaşa,10.0,2025-05-09 10:16,0
Kola,Gazlı İçecek Kola 250 ml Sarıyer,Sarıyer,"Gazlı Içecek Kola &zero&lıght, Kolalı İç, Kola Zero&light, Kolalı Içecekler, Içecekler, Sıvı İçecekler Ve Ci̇ps",hakmar,Selamlıüsküdar,10.0,2025-05-09 10:16,0
Kola,Gazlı İçecek Kola 250 ml Sarıyer,Sarıyer,"Gazlı Içecek Kola &zero&lıght, Kolalı İç, Kola Zero&light, Kolalı Içecekler, Içecekler, Sıvı İçecekler Ve Ci̇ps",a101,Çukurçeşme Gaziosmanpaşa Istanbul,11.5,2025-05-09 10:16,0
Kola,Şeker jöl Ayı / kola / meyve 100 Gr Jelly Party,Jelly Party,"070601-yumuşak Şekerler, 0706-şekerlemeler, 07-bisküvi-çikolata.",bim,Bağlarbaşıgaziosmanpaşa,15.0,2025-05-09 10:16,0
Kola,Sarıyer Kola 330 Ml,Sarıyer,"Gıda, Gazlı İçecekler, Kola, Içecekler",tarim_kredi,Istanbul Bayrampaşa,19.5,2025-05-09 10:16,0
Kola,Gazlı İçecek Kola Şekersiz 330 ml Le'cola,Le'cola,"03-içecekler, 0304-gazlı İçecekler, 030401-kolalı",bim,Bağlarbaşıgaziosmanpaşa,19.5,2025-05-09 10:16,0
Kola,Gazlı İçecek Kola 330 Ml Le'cola,Le'cola,"03-içecekler, 0304-gazlı İçecekler, 030401-kolalı",bim,Bağlarbaşıgaziosmanpaşa,19.5,2025-05-09 10:16,0
Kola,Yumuşak Şeker Kola 160 gr Pıt Pıt,Pıt Pıt,"Yumuşak Şekerler, Çi̇kolata Ve Şekerlemeler, Şekerlemeler",a101,Çukurçeşme Gaziosmanpaşa Istanbul,22.5,2025-05-09 10:16,0
Kola,Pepsi/lipton Buzlu Çay/kola 1 Lt,Lipton,"17-grup Spot, 170329-buzlu Çay, 1703-i̇çecekler",bim,Bağlarbaşıgaziosmanpaşa,24.5,2025-05-09 10:16,0
Kola,Sarıyer Kola 1 Lt,Sarıyer,"Gıda, Gazlı İçecekler, Kola, Içecekler",tarim_kredi,Istanbul Bayrampaşa,24.5,2025-05-09 10:16,0
Kola,Gazlı İçecek Kola 1 Lt Le'cola,Le'cola,"03-içecekler, 0304-gazlı İçecekler, 030401-kolalı",bim,Bağlarbaşıgaziosmanpaşa,24.5,2025-05-09 10:16,0
Kola,Gazlı İçecek Kola 2.5 Lt Şekersiz Kristal,Kristal,"170311-kolalı, Gazlı Içecek Kola &zero&lıght, 17-grup Spot, Gazlı Içecek Kola, 1703-i̇çecekler, Sıvı İçecekler Ve Ci̇ps",bim,Bağlarbaşıgaziosmanpaşa,34.5,2025-05-09 10:16,0
Kola,Kristal Kola 2.5 Lt,Kristal,"Gazlı Içecek Kola &zero&lıght, Gıda, Gazlı İçecekler, Gazlı Içecek Kola, Kola, Içecekler, Sıvı İçecekler Ve Ci̇ps",tarim_kredi,Istanbul Bayrampaşa,37.9,2025-05-09 10:16,0
Kola,Gazlı İçecek Kola 2.5 Lt Şekersiz Kristal,Kristal,"170311-kolalı, Gazlı Içecek Kola &zero&lıght, 17-grup Spot, Gazlı Içecek Kola, 1703-i̇çecekler, Sıvı İçecekler Ve Ci̇ps",a101,Halit Paşa Gaziosmanpaşa Istanbul,38.5,2025-05-09 10:16,0
Kola,Hurmalı Kola 1.5l Kristal,Kristal,"170311-kolalı, 17-grup Spot, 1703-i̇çecekler",bim,Bağlarbaşıgaziosmanpaşa,39.5,2025-05-09 10:16,0
Kola,Gazlı İçecek Kola 2.5 Lt Sarıyer,Sarıyer,"170311-kolalı, 17-grup Spot, 1703-i̇çecekler",bim,Bağlarbaşıgaziosmanpaşa,39.5,2025-05-09 10:16,0
Kola,Jelibon Kola 80 gr,Markasız,"Sekerler, Kuru Gıdalar, Gıda, Sekerleme",carrefour,Istanbul Bayrampaşa Forum Hıpe,40.9,2025-05-09 10:16,0
Kola,Gazlı İçecek Kola 2.5 Lt Le'cola,Le'cola,"03-içecekler, 0304-gazlı İçecekler, 030401-kolalı",bim,Bağlarbaşıgaziosmanpaşa,41.5,2025-05-09 10:16,0
Kola,Yumuşak Şeker Kola Solucan 163 gr Haribo,Harıbo,"Yumuşak Şekerler, Çi̇kolata Ve Şekerlemeler, Şekerlemeler",a101,Çukurçeşme Gaziosmanpaşa Istanbul,48.5,2025-05-09 10:16,0
Kola,Kristal Kola 2.5 Lt,Kristal,"Gazlı Içecek Kola &zero&lıght, Gıda, Gazlı İçecekler, Gazlı Içecek Kola, Kola, Içecekler, Sıvı İçecekler Ve Ci̇ps",a101,Çukurçeşme Gaziosmanpaşa Istanbul,49.5,2025-05-09 10:16,0
Kola,Eldritch Elixir Retro Kola 70 Cl,Eldritch Elixir,"Alkolsuz Icecekler, Gıda, Alkolsuz Vıskı, Lıkıtler",carrefour,Istanbul Esenler Esprı Süper,296.0,2025-05-09 10:16,0
