,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Kavun,Kavun ,Markasız,"Karpuz-kavun, Meyve Ve Sebzeler, Meyve Sebze, Meyve-sebze, Kavun, Normal Meyveler, Normal Me, Meyve",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,19.75,"19,75 ₺/kg",30.06.2025 10:22,0,İSTANBUL
Kavun,Kavun ,Markasız,"Karpuz-kavun, Meyve Ve Sebzeler, Meyve Sebze, Meyve-sebze, Kavun, Normal Meyveler, Normal Me, Meyve",a101,Atlamataşı Fatih Istanbul,29.5,"29,50 ₺/kg",30.06.2025 10:22,0,İSTANBUL
Kavun,Kavun ,Markasız,"Karpuz-kavun, Meyve Ve Sebzeler, Meyve Sebze, Meyve-sebze, Kavun, Normal Meyveler, Normal Me, Meyve",hakmar,Selamlıüsküdar,29.95,"29,95 ₺/kg",30.06.2025 10:22,0,İSTANBUL
Kavun,Siyah Kavun,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Sinanağafatih,19.0,"19.000,00 ₺/kg",30.06.2025 10:22,0,İSTANBUL
Kavun,Kavun Kırkağaç,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Sinanağafatih,19.0,"19.000,00 ₺/kg",30.06.2025 10:22,0,İSTANBUL
Kavun,Galya Kavun,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Sinanağafatih,19.0,"19.000,00 ₺/kg",30.06.2025 10:22,0,İSTANBUL
Kavun,Galya Kavun,Markasız,"Karpuz-kavun, Meyveler, Meyve Ve Sebzeler, Kavun/karpuz, Kavun, Taze Gıdalar, Meyve, Meyve Ve Sebze, Kavun Ve Karpuz",sok,Cemberlıtas,29.9,"29,90 ₺/kg",30.06.2025 10:22,0,İSTANBUL
Kavun,Galya Kavun,Markasız,"Karpuz-kavun, Meyveler, Meyve Ve Sebzeler, Kavun/karpuz, Kavun, Taze Gıdalar, Meyve, Meyve Ve Sebze, Kavun Ve Karpuz",carrefour,Istanbul Fatıh Molla Güranı,45.9,"45,90 ₺/kg",30.06.2025 10:22,0,İSTANBUL
Kavun,Kavun Kırkagac,Markasız,"Meyveler, Kavun, Kavun Ve Karpuz",sok,Mercan Mheminönü,19.9,"19,90 ₺/kg",30.06.2025 10:22,0,İSTANBUL
Kavun,Kavun Kırkağaç ,Markasız,"Meyve Ve Sebzeler, Kavun/karpuz, Taze Gıdalar, Normal Meyveler, Normal Me, Meyve Ve Sebze, Meyve",hakmar,Valide  Üsküdar,19.95,"19,95 ₺/kg",30.06.2025 10:22,0,İSTANBUL
Kavun,Kavun Kırkağaç Box,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Sinanağafatih,19.0,"19.000,00 ₺/kg",30.06.2025 10:22,0,İSTANBUL
