,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km
Nohut,Nohut 1000 Gr Saban,Saban,"040205-nohut, 04-bakliyat Ve Unlu Mamuller, 0402-bakli̇yat",bim,Bağlarbaşıgaziosmanpaşa,49.5,2025-05-16 10:19,0
Nohut,Anadolu Mutfağı Nohut 1000 gr,Anadolu Mutfağı,"Bakliyat-bulgur-pirinç, Kuru Fasülye, Bakli̇yat",sok,Gop Kızılay,50.0,2025-05-16 10:19,0
Nohut,Carrefour Nohut 1 kg,Carrefour,"Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar, Kuru Baklıyatlar",carrefour,Istanbul Vıa Venezıa Süper,54.5,2025-05-16 10:19,0
Nohut,Migros Nohut 1 kg,Migros,"Pl Bakliyat Bulgur Pirinç, Pl Bakliyat Bulgur Pirinç Şeker, Pl Bakli̇yat, Pl Nohut",migros,Avasköy Bayrampaşa M Migros,54.95,2025-05-16 10:19,0
Nohut,Yerli Nohut 9mm 1000 gr Saban,Saban,"040205-nohut, 04-bakliyat Ve Unlu Mamuller, 0402-bakli̇yat",bim,Bağlarbaşıgaziosmanpaşa,58.5,2025-05-16 10:19,0
Nohut,Nohut Beyaz 1000 gr Saban,Saban,"040205-nohut, 04-bakliyat Ve Unlu Mamuller, 0402-bakli̇yat",bim,Bağlarbaşıgaziosmanpaşa,87.5,2025-05-16 10:19,0
Nohut,Carrefour Beyaz Nohut 1 kg,Carrefour,"Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar, Kuru Baklıyatlar",carrefour,Istanbul Vıa Venezıa Süper,87.5,2025-05-16 10:19,0
Nohut,Reis Royal Beyaz Nohut 500 gr,Reis,"Bakliyat Bulgur Pirinç Şeker, Kuru Gıdalar, Gıda, Bakliyat Bulgur Pirinç, Bakli̇yat, Çorba Ve Bakli̇yatlar, Nohut, Kuru Baklıyatlar",carrefour,Istanbul Ramı Kışla Cad Mını,89.2,2025-05-16 10:19,0
Nohut,Nohut Beyaz 1 kg Rençber,Rençber,"Un Ve Bakliyatlar, Beyaz Nohut, Beyaz Noh",hakmar,Selamlıüsküdar,89.75,2025-05-16 10:19,0
Nohut,M life Bio Organik Nohut 1 kg (pl1),Mlıfe,"Pl Bakliyat, Pl Bakliyat Bulgur Pirinç Şeker, Pl Sağlıklı Yaşam Ürünleri, Pl Ekoloji̇k Bi̇yoloji̇k Ürün",migros,Avasköy Bayrampaşa M Migros,105.95,2025-05-16 10:19,0
Nohut,Carrefour Bio Organik nohut 1 kg,Carrefour,"Organik Bakliyat, Kuru Gıdalar, Gıda, Organi̇k Ve Özel Beslenme",carrefour,Istanbul Bayrampaşa Forum Hıpe,105.95,2025-05-16 10:19,0
Nohut,Duru Koçbaşı Nohut 8 M 1 kg,Duru,"Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar, Kuru Baklıyatlar",carrefour,Istanbul Bayrampaşa Forum Hıpe,109.0,2025-05-16 10:19,0
Nohut,Yayla Koçbaşı Nohut ( iri Boy ) 1 kg,Yayla,"Bakliyat Bulgur Pirinç Şeker, Bakliyat Bulgur Pirinç, Bakli̇yat, Nohut",migros,Avasköy Bayrampaşa M Migros,114.95,2025-05-16 10:19,0
Nohut,Hasata Kırşehir Koçbaşı Nohut 1 kg,Hasata,"Bakliyat Bulgur Pirinç Şeker, Kuru Gıdalar, Gıda, Bakliyat Bulgur Pirinç, Bakliyat, Bakli̇yat, Nohut, Çorba Ve Bakli̇yatlar, Kuru Baklıyatlar, Bakli̇yat Ve Kuru Gıdalar",migros,Bayrampaşa Pashador Mm Migros,119.95,2025-05-16 10:19,0
Nohut,Doyum Organik Nohut 1 kg,Doyum,"Bakliyat Bulgur Pirinç Şeker, Bakliyat, Sağlıklı Yaşam Ürünleri, Ekoloji̇k Bi̇yoloji̇k Ürün",migros,Bayrampaşa Pashador Mm Migros,124.95,2025-05-16 10:19,0
Nohut,Hasata Kırşehir Koçbaşı Nohut 1 kg,Hasata,"Bakliyat Bulgur Pirinç Şeker, Kuru Gıdalar, Gıda, Bakliyat Bulgur Pirinç, Bakliyat, Bakli̇yat, Nohut, Çorba Ve Bakli̇yatlar, Kuru Baklıyatlar, Bakli̇yat Ve Kuru Gıdalar",carrefour,Istanbul Bayrampaşa Forum Hıpe,124.95,2025-05-16 10:19,0
Nohut,Sade Organik Nohut 1 kg,Sade,"Organik Bakliyat, Kuru Gıdalar, Gıda, Organi̇k Ve Özel Beslenme",carrefour,Istanbul Bayrampaşa Forum Hıpe,127.92,2025-05-16 10:19,0
Nohut,Hasata Beyaz Nohut 1 kg,Hasata,"Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar, Kuru Baklıyatlar",carrefour,Istanbul Bayrampaşa Forum Hıpe,139.9,2025-05-16 10:19,0
Nohut,Organik Gurme Organik Nohut,Organik Gurme ,"Organik Bakliyat, Kuru Gıdalar, Gıda, Organi̇k Ve Özel Beslenme",carrefour,Istanbul Bayrampaşa Forum Hıpe,222.5,2025-05-16 10:19,0
Nohut,Ots Organik Nohut 750 gr,OTS,"Organik Bakliyat, Bakliyat Bulgur Pirinç Şeker, Kuru Gıdalar, Gıda, Bakliyat, Organi̇k Ve Özel Beslenme, Sağlıklı Yaşam Ürünleri, Ekoloji̇k Bi̇yoloji̇k Ürün",carrefour,Istanbul Bayrampaşa Forum Hıpe,288.9,2025-05-16 10:19,0
